"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"01/01/2020 00:00:00 - 01/01/2020 01:00:00","BZN|NO5","Without sequence","31.82","",""
"01/01/2020 01:00:00 - 01/01/2020 02:00:00","BZN|NO5","Without sequence","31.77","",""
"01/01/2020 02:00:00 - 01/01/2020 03:00:00","BZN|NO5","Without sequence","31.57","",""
"01/01/2020 03:00:00 - 01/01/2020 04:00:00","BZN|NO5","Without sequence","31.28","",""
"01/01/2020 04:00:00 - 01/01/2020 05:00:00","BZN|NO5","Without sequence","30.72","",""
"01/01/2020 05:00:00 - 01/01/2020 06:00:00","BZN|NO5","Without sequence","30.27","",""
"01/01/2020 06:00:00 - 01/01/2020 07:00:00","BZN|NO5","Without sequence","30.17","",""
"01/01/2020 07:00:00 - 01/01/2020 08:00:00","BZN|NO5","Without sequence","30.14","",""
"01/01/2020 08:00:00 - 01/01/2020 09:00:00","BZN|NO5","Without sequence","30.49","",""
"01/01/2020 09:00:00 - 01/01/2020 10:00:00","BZN|NO5","Without sequence","30.59","",""
"01/01/2020 10:00:00 - 01/01/2020 11:00:00","BZN|NO5","Without sequence","30.27","",""
"01/01/2020 11:00:00 - 01/01/2020 12:00:00","BZN|NO5","Without sequence","30.34","",""
"01/01/2020 12:00:00 - 01/01/2020 13:00:00","BZN|NO5","Without sequence","30.59","",""
"01/01/2020 13:00:00 - 01/01/2020 14:00:00","BZN|NO5","Without sequence","30.38","",""
"01/01/2020 14:00:00 - 01/01/2020 15:00:00","BZN|NO5","Without sequence","30.6","",""
"01/01/2020 15:00:00 - 01/01/2020 16:00:00","BZN|NO5","Without sequence","31.09","",""
"01/01/2020 16:00:00 - 01/01/2020 17:00:00","BZN|NO5","Without sequence","31.53","",""
"01/01/2020 17:00:00 - 01/01/2020 18:00:00","BZN|NO5","Without sequence","31.78","",""
"01/01/2020 18:00:00 - 01/01/2020 19:00:00","BZN|NO5","Without sequence","31.64","",""
