"Area","Year","Week","Stored Energy Value (MWh)"
"BZN|NO5","2020","1","1.1074E7"
"BZN|NO5","2020","2","1.081E7"
"BZN|NO5","2020","3","1.0644E7"
"BZN|NO5","2020","4","1.0265E7"
"BZN|NO5","2020","5","9733000.0"
"BZN|NO5","2020","6","9368000.0"
"BZN|NO5","2020","7","9123000.0"
"BZN|NO5","2020","8","8643000.0"
"BZN|NO5","2020","9","8071000.0"
"BZN|NO5","2020","10","7615000.0"
"BZN|NO5","2020","11","7058000.0"
"BZN|NO5","2020","12","N/A"
"BZN|NO5","2020","13","5984000.0"
"BZN|NO5","2020","14","5508000.0"
"BZN|NO5","2020","15","5078000.0"
"BZN|NO5","2020","16","4675000.0"
"BZN|NO5","2020","17","4249000.0"
"BZN|NO5","2020","18","3862000.0"
"BZN|NO5","2020","19","3483000.0"
"BZN|NO5","2020","20","3416000.0"
"BZN|NO5","2020","21","3927000.0"
"BZN|NO5","2020","22","5269000.0"
"BZN|NO5","2020","23","7092000.0"
"BZN|NO5","2020","24","9603000.0"
"BZN|NO5","2020","25","1.1744E7"
"BZN|NO5","2020","26","1.2728E7"
"BZN|NO5","2020","27","1.3279E7"
"BZN|NO5","2020","28","1.3971E7"
"BZN|NO5","2020","29","1.4365E7"
"BZN|NO5","2020","30","1.5301E7"
"BZN|NO5","2020","31","1.5748E7"
"BZN|NO5","2020","32","1.5806E7"
"BZN|NO5","2020","33","1.6021E7"
"BZN|NO5","2020","34","1.5882E7"
"BZN|NO5","2020","35","1.581E7"
"BZN|NO5","2020","36","1.6156E7"
"BZN|NO5","2020","37","1.6391E7"
"BZN|NO5","2020","38","1.6459E7"
"BZN|NO5","2020","39","1.6403E7"
"BZN|NO5","2020","40","1.6371E7"
"BZN|NO5","2020","41","1.5913E7"
"BZN|NO5","2020","42","1.565E7"
"BZN|NO5","2020","43","1.5628E7"
"BZN|NO5","2020","44","1.5956E7"
"BZN|NO5","2020","45","1.5762E7"
"BZN|NO5","2020","46","1.6283E7"
"BZN|NO5","2020","47","1.6079E7"
"BZN|NO5","2020","48","1.5534E7"
"BZN|NO5","2020","49","1.4882E7"
"BZN|NO5","2020","50","1.4402E7"
"BZN|NO5","2020","51","1.3955E7"
"BZN|NO5","2020","52","1.3305E7"
"BZN|NO5","2020","53"," "
